Orthogroup	HART001	HART027	HART058	HART060	HART061	HART062	HART063	HART067	HART068	N1523	N9750	Total
OG0000156	6	4	4	4	6	5	6	5	4	5	4	53
OG0000157	5	4	5	5	5	5	5	4	5	4	5	52
OG0000158	6	7	3	4	4	5	8	7	3	1	4	52
OG0000159	5	5	5	4	5	6	6	5	4	3	4	52
OG0000160	5	5	5	5	5	5	5	5	5	2	5	52
OG0000161	5	5	4	4	5	5	5	5	3	8	3	52
OG0000162	5	5	7	0	8	6	10	6	1	3	1	52
OG0000163	5	5	6	3	6	6	5	5	3	4	4	52
OG0000164	4	3	6	5	4	3	5	6	6	6	4	52
OG0000165	6	6	4	5	4	2	6	6	4	5	4	52
OG0000166	5	5	5	4	5	5	5	5	5	4	4	52
OG0000167	5	5	5	6	5	5	5	6	3	3	3	51
OG0000168	5	5	5	5	5	4	5	5	5	2	5	51
OG0000169	5	4	5	5	5	5	5	4	5	3	5	51
OG0000170	5	4	4	4	5	4	6	5	4	6	4	51
OG0000171	4	5	5	4	5	5	5	4	3	8	3	51
OG0000172	7	3	5	4	4	6	6	3	6	1	6	51
OG0000173	5	5	4	5	5	5	6	4	5	2	5	51
OG0000174	5	4	5	5	4	4	5	5	5	5	4	51
OG0000175	3	4	4	4	4	4	4	3	3	15	3	51
OG0000176	6	5	5	5	5	3	6	7	5	0	4	51
OG0000177	7	9	6	3	3	3	9	4	3	1	3	51
OG0000178	5	5	5	4	5	5	5	5	4	3	4	50
OG0000179	6	2	6	3	5	4	6	5	4	5	4	50
OG0000180	5	5	4	5	4	4	5	5	5	3	5	50
OG0000181	4	4	3	4	4	3	4	4	4	13	3	50
OG0000182	5	5	4	5	4	4	6	5	4	5	3	50
OG0000183	5	6	5	2	6	5	6	5	3	4	3	50
OG0000184	4	4	3	4	3	4	4	3	4	13	4	50
OG0000185	6	5	5	4	3	4	6	6	4	3	4	50
OG0000186	5	5	5	5	5	5	5	5	5	2	3	50
OG0000187	5	4	6	4	6	6	5	5	5	1	3	50
OG0000188	5	6	5	2	4	4	5	6	4	5	4	50
OG0000189	4	5	5	4	5	5	5	2	5	6	4	50
OG0000190	11	1	3	2	2	2	12	12	2	1	2	50
OG0000191	4	5	5	4	3	5	8	4	6	3	2	49
OG0000192	5	5	4	4	4	4	5	5	5	3	5	49
