Gene	subset	category	mean_log2_Arto_vs_Bato
Morus_001506-R1	A-unique	Both	0
Morus_001515-R1	A-unique	Arto-only	3.0002397562100707
Morus_001539-R1	B-unique	Bato-only	-0.835545447418195
Morus_001552-R1	B-unique	Arto-only	0.6454402882960533
Morus_001553-R1	Homeologs	Neither	-1.9201036981909196
Morus_001554-R1	A-unique	Arto-only	2.0144400251193266
Morus_001565-R1	Homeologs	Arto-only	-0.4645896271494422
Morus_001579-R1	A-unique	Neither	-0.10231337023434872
Morus_001589-R1	Homeologs	Neither	-2.965657262968884
Morus_001602-R2	A-unique	Bato-only	-1.429832219767418
Morus_001622-R1	A-unique	Neither	-0.1474944114952817
Morus_001624-R1	B-unique	Neither	0.2375796322379885
Morus_001639-R1	Homeologs	Arto-only	0.9880537019425618
Morus_001642-R1	Homeologs	Neither	0
Morus_001657-R1	Homeologs	Bato-only	-0.4434253255230149
Morus_001662-R1	Homeologs	Bato-only	0.3814750153091757
Morus_001663-R1	B-unique	Bato-only	-5.667744189079486
Morus_001664-R1	Homeologs	Bato-only	-0.869014720963734
Morus_001682-R1	B-unique	Neither	1.6174001082464617
Morus_001689-R1	Homeologs	Bato-only	-2.212667855574194
Morus_001691-R1	Homeologs	Both	-1.3059285808620156
Morus_001719-R1	A-unique	Neither	-1.129401728990807
Morus_001747-R1	A-unique	Bato-only	-1.6840236136600786
Morus_001749-R1	Homeologs	Neither	-1.2182315410948976
Morus_001758-R1	A-unique	Bato-only	-1.0664062203317992
Morus_001779-R1	A-unique	Neither	-1.8067882618779616
Morus_001781-R2	Homeologs	Both	0.5696842833458351
Morus_001797-R1	Homeologs	Both	2.3243596191163958
Morus_001805-R1	Homeologs	Both	-0.5245812112757933
Morus_001807-R1	B-unique	Bato-only	2.3121615661064463
Morus_001810-R1	A-unique	Neither	-0.13787427318632006
Morus_001812-R1	A-unique	Bato-only	0.39967035144065455
Morus_001821-R1	Homeologs	Bato-only	2.2415573572039027
Morus_001834-R1	A-unique	Neither	-1.8721462432985154
Morus_001846-R1	Homeologs	Neither	1.6447657527804938
Morus_001852-R2	Homeologs	Bato-only	0.1763621428541497
Morus_001856-R1	A-unique	Both	1.0237259989631646
Morus_001858-R1	Homeologs	Neither	0
Morus_001866-R1	B-unique	Neither	-4.096395743396813
Morus_001879-R1	Homeologs	Both	0.5565088207748604
Morus_001883-R2	A-unique	Bato-only	-1.1548865512155053
Morus_001885-R1	B-unique	Bato-only	0
Morus_001913-R1	A-unique	Bato-only	-1.579489214342053
Morus_001915-R1	Homeologs	Bato-only	1.8654846089966233
Morus_001923-R1	B-unique	Neither	0.791327374188516
Morus_001925-R1	Homeologs	Neither	-0.30611909176501406
Morus_001934-R1	Homeologs	Neither	0
Morus_001955-R1	B-unique	Bato-only	0
Morus_001983-R1	Homeologs	Both	0
Morus_002001-R1	A-unique	Neither	-1.308986317771232
Morus_002037-R1	Homeologs	Arto-only	0
Morus_002065-R1	Homeologs	Both	1.1018463113814996
Morus_002075-R1	A-unique	Neither	0
Morus_002080-R1	B-unique	Neither	-1.5093956756259226
Morus_002110-R1	Homeologs	Neither	0
Morus_002127-R1	A-unique	Neither	0
Morus_002130-R1	Homeologs	Both	0.07018568569363229
Morus_002157-R1	Homeologs	Bato-only	0
Morus_002170-R1	B-unique	Both	0.8669826641072624
Morus_002175-R1	Homeologs	Both	0.22766102635663132
Morus_002176-R1	A-unique	Bato-only	-1.443415807372215
Morus_002177-R1	A-unique	Bato-only	-0.4826025372569979
Morus_002181-R1	Homeologs	Neither	0
Morus_002185-R2	A-unique	Bato-only	0.4683629321653037
Morus_002191-R1	Homeologs	Bato-only	-1.40460623899442
Morus_002192-R1	Homeologs	Bato-only	0.5911182804158918
Morus_002197-R1	Homeologs	Neither	-0.8062053541174768
Morus_002228-R1	A-unique	Bato-only	-1.2300430046635016
Morus_002229-R1	A-unique	Neither	-1.0538363576903984
Morus_002251-R1	Homeologs	Neither	0.0654647581689447
Morus_002254-R1	Homeologs	Both	0.605704924056368
Morus_002257-R1	Homeologs	Both	-1.55361297233422
Morus_002267-R1	Homeologs	Both	0.3550482233833739
Morus_002270-R1	Homeologs	Neither	-1.0954256171243661
Morus_002273-R1	Homeologs	Both	0.4043847229288904
Morus_002281-R1	Homeologs	Both	-0.27983752990347643
Morus_002284-R2	Homeologs	Both	1.05021537894778
Morus_002299-R1	Homeologs	Arto-only	-1.0207657789918976
Morus_002301-R1	Homeologs	Neither	-3.1280729713187414
Morus_002303-R1	A-unique	Neither	-2.3886352783915643
Morus_002304-R1	Homeologs	Neither	0.8078872821382133
Morus_002307-R1	B-unique	Neither	0.9858984930969249
Morus_002311-R1	Homeologs	Both	-1.3761885759509658
Morus_002316-R1	Homeologs	Neither	-0.25442162766510723
Morus_002320-R1	Homeologs	Arto-only	-0.8290719501368251
Morus_002330-R1	Homeologs	Both	-0.3916952188217143
Morus_002332-R1	A-unique	Both	-0.7495397453817694
Morus_002333-R1	Homeologs	Both	-0.5247426261596074
Morus_002335-R1	A-unique	Neither	-1.661005620162388
Morus_002342-R1	Homeologs	Both	0.0495067504021042
Morus_002354-R1	A-unique	Neither	-1.2454612492321226
Morus_002368-R1	A-unique	Bato-only	-0.5109032678434808
Morus_002369-R1	Homeologs	Both	-2.380644132851007
Morus_002371-R1	Homeologs	Bato-only	-0.10681232410161812
Morus_002372-R1	Homeologs	Neither	0.8844792179429366
Morus_002377-R1	B-unique	Neither	-0.3428249904613899
Morus_002386-R3	A-unique	Neither	-0.07099169928939343
Morus_002389-R1	A-unique	Arto-only	-3.4969085040193715
Morus_002392-R1	Homeologs	Both	-0.092300159618489
Morus_002393-R1	A-unique	Neither	1.99500540074475
Morus_002398-R1	Homeologs	Neither	-0.5724474812067041
Morus_002414-R1	Homeologs	Bato-only	0
Morus_002416-R1	B-unique	Neither	-0.02685302852555678
Morus_002417-R1	Homeologs	Neither	-0.38026269875595703
Morus_002444-R1	Homeologs	Both	0.041342518303667974
Morus_002453-R1	Homeologs	Both	-1.0806346279482564
Morus_002456-R1	A-unique	Neither	-0.8781564106725253
Morus_002458-R1	Homeologs	Both	1.3753860891732104
Morus_002462-R1	Homeologs	Bato-only	0.41735007981703787
Morus_002466-R1	Homeologs	Bato-only	0.7341717988784069
Morus_002483-R1	Homeologs	Arto-only	1.8817838997860512
Morus_002493-R1	Homeologs	Arto-only	1.4071840891968332
Morus_002503-R1	Homeologs	Neither	-1.0183785816687885
Morus_002519-R1	Homeologs	Neither	1.1361651314079304
Morus_002530-R1	Homeologs	Both	0.47068934109120275
Morus_002534-R1	Homeologs	Neither	-0.4109808038907447
Morus_002537-R1	B-unique	Neither	0.3583072453635084
Morus_002539-R1	Homeologs	Neither	-3.014265039893486
Morus_002545-R1	Homeologs	Bato-only	2.5025660626213253
Morus_002561-R1	Homeologs	Bato-only	1.6564566665545593
Morus_002565-R2	Homeologs	Arto-only	0.5261757479153752
Morus_002568-R1	A-unique	Neither	-4.443402713953422
Morus_002571-R1	Homeologs	Bato-only	-0.7960976168436992
Morus_002573-R1	A-unique	Neither	0
Morus_002575-R1	Homeologs	Bato-only	-0.5352276001307477
Morus_002584-R2	A-unique	Arto-only	2.016086829075665
Morus_002590-R1	Homeologs	Both	-3.8298392043775307
Morus_002603-R1	Homeologs	Arto-only	-2.479625446755606
Morus_002607-R1	A-unique	Neither	-0.6797678366928477
Morus_002609-R1	Homeologs	Bato-only	-0.45162021069140085
Morus_002610-R1	A-unique	Neither	-1.3915125436038085
Morus_002612-R1	Homeologs	Bato-only	1.0904523318422001
Morus_002614-R1	Homeologs	Bato-only	0.1591951405230686
Morus_002629-R1	B-unique	Neither	0
Morus_002632-R1	Homeologs	Neither	-2.174944809943953
Morus_002634-R1	Homeologs	Bato-only	-0.9068094335034464
Morus_002648-R1	Homeologs	Bato-only	0.45351718439599575
Morus_002660-R1	Homeologs	Bato-only	-2.1469631067697423
Morus_002679-R1	A-unique	Neither	0.5369008458000402
Morus_002682-R1	Homeologs	Bato-only	-2.3533663605287902
Morus_002683-R1	Homeologs	Arto-only	1.5645453333466144
Morus_002686-R1	Homeologs	Neither	-0.7898719526940429
Morus_002689-R1	B-unique	Neither	0.35442586806667764
Morus_002694-R1	B-unique	Neither	1.2412359505635813
Morus_002696-R1	Homeologs	Arto-only	0.5432935675504283
Morus_002701-R1	Homeologs	Both	0.20584195492796686
Morus_002722-R1	Homeologs	Both	0.8203572276235103
Morus_002725-R1	A-unique	Neither	0
Morus_002753-R1	Homeologs	Neither	5.075473963822789
Morus_002755-R1	B-unique	Bato-only	0.9623780278975709
Morus_002759-R1	A-unique	Bato-only	-1.808299941325454
Morus_002760-R1	Homeologs	Neither	-0.0860843124672811
Morus_002778-R1	Homeologs	Bato-only	-2.3726214400301417
Morus_002786-R1	Homeologs	Bato-only	1.6726480133385477
Morus_002791-R1	A-unique	Both	-1.5435102996458423
Morus_002802-R1	A-unique	Bato-only	-0.4463059581169537
Morus_002807-R1	A-unique	Neither	-4.825388289395544
Morus_002808-R1	A-unique	Arto-only	-0.5338985198092817
Morus_002814-R1	Homeologs	Both	-1.9053237765720152
Morus_002816-R1	Homeologs	Neither	-1.031280314084645
Morus_002818-R1	Homeologs	Arto-only	0.8576189139296384
Morus_002820-R1	Homeologs	Arto-only	-0.6620672142413724
Morus_002822-R1	Homeologs	Both	-0.7503948101238501
Morus_002845-R1	B-unique	Arto-only	0
Morus_002851-R1	A-unique	Neither	1.0221296112877312
Morus_002859-R1	B-unique	Both	-6.0101840675166445
Morus_002860-R1	Homeologs	Both	2.9304567860902133
Morus_002898-R2	A-unique	Bato-only	-1.3693452119935174
Morus_002899-R1	A-unique	Neither	-0.756575478677469
Morus_002902-R1	Homeologs	Both	-0.33204362447001257
Morus_002911-R1	B-unique	Neither	3.972300341813973
Morus_002923-R1	A-unique	Bato-only	0.18188102020363497
Morus_002927-R2	A-unique	Bato-only	-0.659214591314043
Morus_002928-R1	A-unique	Both	0.4743645297237876
Morus_002930-R1	A-unique	Neither	0.13675649585823135
Morus_002938-R1	Homeologs	Both	0.9747906810698719
Morus_002942-R1	A-unique	Both	-1.2683568590645238
Morus_002944-R1	Homeologs	Arto-only	-0.02264053032602359
Morus_002949-R1	Homeologs	Neither	0.31678550940046774
Morus_002957-R1	Homeologs	Both	0
Morus_002973-R1	Homeologs	Both	0.5241790242995044
Morus_002975-R1	Homeologs	Bato-only	0.018713683532990688
Morus_002986-R1	Homeologs	Bato-only	1.4507477495238459
Morus_002993-R1	Homeologs	Arto-only	-1.8718784903193466
Morus_003004-R1	Homeologs	Neither	-0.8919918432749676
Morus_003039-R2	A-unique	Bato-only	-0.3852998793426825
Morus_003060-R1	A-unique	Bato-only	-1.604585852919783
Morus_003075-R1	Homeologs	Both	0.9662051419387514
Morus_003091-R1	A-unique	Neither	0.8877509803678847
Morus_003101-R1	A-unique	Neither	-0.5425190142952192
Morus_003116-R1	B-unique	Neither	-1.7984263375541876
Morus_003125-R1	A-unique	Neither	-4.925604339242524
Morus_003130-R1	Homeologs	Both	0.9145020921938516
Morus_003132-R1	Homeologs	Neither	-2.8038573583827135
Morus_003134-R1	Homeologs	Neither	3.8276612032117923
Morus_003137-R1	Homeologs	Both	-1.04006002336164
Morus_003140-R1	A-unique	Neither	0.12623382884875395
Morus_003141-R1	A-unique	Both	-2.6019700740639724
Morus_003143-R1	B-unique	Bato-only	0.04683656035310002
Morus_003148-R1	A-unique	Bato-only	-4.51314520663099
Morus_003155-R1	Homeologs	Arto-only	-2.993356932220623
Morus_003157-R1	Homeologs	Neither	0.9749618539763767
Morus_003161-R1	Homeologs	Both	0.25346329942178736
