Morus	tissue	TPM_bato
Morus_000243-R1	YL	0
Morus_000244-R3	ML	526.136178
Morus_000244-R3	YL	33.527266
Morus_000247-R1	ML	0
Morus_000247-R1	YL	0
Morus_000249-R1	ML	0
Morus_000249-R1	YL	0
Morus_000252-R1	ML	0
Morus_000252-R1	YL	0
Morus_000253-R1	ML	275.894733
Morus_000253-R1	YL	698.087522
Morus_000254-R1	ML	18.581239
Morus_000254-R1	YL	12.750484
Morus_000257-R1	ML	16.410267
Morus_000257-R1	YL	10.426629
Morus_000258-R1	ML	0
Morus_000258-R1	YL	0
Morus_000259-R1	ML	71.191067
Morus_000259-R1	YL	130.270548
Morus_000261-R1	ML	0
Morus_000261-R1	YL	9.459375
Morus_000264-R1	ML	0
Morus_000264-R1	YL	1.486269
Morus_000266-R1	ML	0.999662
Morus_000266-R1	YL	0
Morus_000267-R1	ML	48.598064
Morus_000267-R1	YL	6.292093
Morus_000269-R1	ML	94.981684
Morus_000269-R1	YL	123.45523
Morus_000270-R1	ML	17.194842
Morus_000270-R1	YL	14.301983
Morus_000272-R1	ML	0
Morus_000272-R1	YL	0
Morus_000276-R1	ML	0
Morus_000276-R1	YL	0
Morus_000278-R1	ML	4.323135
Morus_000278-R1	YL	11.53656
Morus_000281-R1	ML	0
Morus_000281-R1	YL	3.939507
Morus_000286-R1	ML	0
Morus_000286-R1	YL	0
Morus_000287-R1	ML	0
Morus_000287-R1	YL	1.44681
Morus_000288-R1	ML	2.056858
Morus_000288-R1	YL	14.114205
Morus_000289-R2	ML	0
Morus_000289-R2	YL	0
Morus_000290-R1	ML	0
Morus_000290-R1	YL	0
Morus_000291-R1	ML	0
Morus_000291-R1	YL	0
Morus_000292-R1	ML	14.306461
Morus_000292-R1	YL	19.3759
Morus_000293-R1	ML	0
Morus_000293-R1	YL	0
Morus_000294-R1	ML	0
Morus_000294-R1	YL	1.678537
Morus_000296-R1	ML	2.516755
Morus_000296-R1	YL	0
Morus_000297-R1	ML	14.488344
Morus_000297-R1	YL	14.202759
Morus_000300-R1	ML	8.913588
Morus_000300-R1	YL	29.308335
Morus_000302-R1	ML	58.096119
