Morus	tissue	A	B	total_AB	log2_BA
Morus_000084-R1	FF	7.391093	0	7.391093	-3.0688587442737045
Morus_000084-R1	FR	4.47198	0	4.47198	-2.452062957205984
Morus_000084-R1	MF	3.020036	0	3.020036	-2.0072084210034378
Morus_000084-R1	ML	0	0	0	0
Morus_000084-R1	SD	4.97147	0	4.97147	-2.5780861242294697
Morus_000084-R1	YL	15.326286	0	15.326286	-4.02912473031914
Morus_000085-R1	FF	63.945687	0	63.945687	-6.021161815320832
Morus_000085-R1	FR	97.014554	0	97.014554	-6.614924083142211
Morus_000085-R1	MF	79.945436	0	79.945436	-6.338877833280662
Morus_000085-R1	ML	69.076036	0	69.076036	-6.130849263021536
Morus_000085-R1	SD	113.628125	0	113.628125	-6.840817254984784
Morus_000085-R1	YL	62.341212	0	62.341212	-5.9850725677106915
Morus_000087-R1	FF	0	82.386276	82.386276	6.381738054384753
Morus_000087-R1	FR	0	0	0	0
Morus_000087-R1	MF	0	29.92304	29.92304	4.950610250415863
Morus_000087-R1	ML	0	34.150855	34.150855	5.135487876340454
Morus_000087-R1	SD	0	123.145482	123.145482	6.955887948552474
Morus_000087-R1	YL	0	21.354683	21.354683	4.48250518281352
Morus_000088-R1	FF	0	17.405002	17.405002	4.202026001381405
Morus_000088-R1	FR	0	7.020596	7.020596	3.003709445445352
Morus_000088-R1	MF	0	6.32157	6.32157	2.872153045824343
Morus_000088-R1	ML	0	20.201277	20.201277	4.406079259019353
Morus_000088-R1	SD	0	9.755936	9.755936	3.427061170908321
Morus_000088-R1	YL	0	10.526624	10.526624	3.526898122911959
Morus_000090-R1	FF	0	0	0	0
Morus_000090-R1	FR	0	0	0	0
Morus_000090-R1	MF	0	0	0	0
Morus_000090-R1	ML	0	0	0	0
Morus_000090-R1	SD	0	0	0	0
Morus_000090-R1	YL	0	0	0	0
Morus_000094-R1	FF	3.36609	0	3.36609	-2.126341869498521
Morus_000094-R1	FR	4.582467	0	4.582467	-2.480902817775995
Morus_000094-R1	MF	0.6877	0	0.6877	-0.7550584781106809
Morus_000094-R1	ML	0	0	0	0
Morus_000094-R1	SD	5.094298	0	5.094298	-2.6074600468919384
Morus_000094-R1	YL	0	0	0	0
Morus_000096-R1	FF	0	26.308895	26.308895	4.771299034392525
Morus_000096-R1	FR	0	3.411041	3.411041	2.141119170138083
Morus_000096-R1	MF	0	1.535705	1.535705	1.3423869143288043
Morus_000096-R1	ML	0	8.412887	8.412887	3.234637275747728
Morus_000096-R1	SD	0	0	0	0
Morus_000096-R1	YL	0	2.922564	2.922564	1.9717969861938498
