Orthogroup	d
OG0008307	unknown:catalytic activity
OG0008308	binding:tRNA binding; tRNA wobble position uridine thiolation; cytosolic tRNA wobble base thiouridylase complex; mitochondrion
OG0008310	binding:peptidyl-glutamine methylation; tRNA methylation; protein heterodimerization activity; rRNA (guanine-N7)-methylation
OG0008312	binding:nucleotide binding; DNA binding; DNA-directed DNA polymerase activity; DNA replication; chromatin binding; DNA replication origin binding; single-stranded DNA binding; alpha DNA polymerase:primase complex; leading strand elongation; lagging strand elongation; mitotic DNA replication initiation; nucleic acid binding
OG0008313	binding:mitochondrion; cellular respiration; ubiquinone binding
OG0008315	unknown:nucleus
OG0008317	transport:antiporter activity; membrane; xenobiotic transmembrane transporter activity; transmembrane transport
OG0008318	binding:zinc ion binding; nucleus; regulation of DNA-templated transcription; photomorphogenesis
OG0008319	catalytic activity:peroxidase activity; response to oxidative stress
OG0008321	binding:mRNA splicing, via spliceosome; spliceosomal complex; nucleic acid binding
OG0008323	unknown:positive regulation of DNA repair; BRCA1-A complex; BRISC complex
OG0008324	binding:DNA binding; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; positive regulation of DNA-templated transcription
OG0008325	binding:protein binding
OG0008326	binding:DNA binding; regulation of DNA-templated transcription
OG0008328	binding:nucleic acid binding
OG0008329	signaling:phosphorelay signal transduction system
OG0008330	binding:DNA binding; DNA-binding transcription factor activity
OG0008331	binding:GTP binding; thylakoid membrane organization; chloroplast membrane
OG0008332	carbohydrate metabolism:malate synthase activity; cytoplasm; glyoxylate cycle; catalytic activity
OG0008333	signaling:protein binding; negative regulation of ethylene-activated signaling pathway
OG0008335	transport:protein transmembrane transporter activity; mitochondrion targeting sequence binding; TIM22 mitochondrial import inner membrane insertion complex; protein insertion into mitochondrial inner membrane
OG0008337	unknown:regulation of DNA-templated transcription; chloroplast nucleoid
OG0008338	binding:protein kinase activity; ATP binding; protein phosphorylation
OG0008340	catalytic activity:cytoplasm; acid-amino acid ligase activity
OG0008341	binding:double-stranded RNA binding; protein kinase inhibitor activity; nucleolus; negative regulation of protein kinase activity; protein kinase binding
OG0008342	binding:transcription coregulator activity; regulation of transcription by RNA polymerase II; transcription factor binding; mediator complex; positive regulation of transcription by RNA polymerase II
OG0008344	catalytic activity:3'-5'-RNA exonuclease activity; catalytic activity
OG0008345	carbohydrate metabolism:magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding
OG0008346	binding:FMN binding; oxidoreductase activity; NAD(P)H dehydrogenase (quinone) activity; membrane
OG0008347	unknown:mRNA splicing, via spliceosome; spliceosomal complex
OG0008349	unknown:DNA-binding transcription factor activity; regulation of DNA-templated transcription; nucleus; positive regulation of DNA-templated transcription
OG0008350	binding:protein kinase activity; ATP binding; protein phosphorylation; protein binding
OG0008351	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; nucleus; sequence-specific DNA binding
OG0008352	unknown:U5 snRNP
OG0008353	transport:GTPase activator activity; COPII vesicle coat; endoplasmic reticulum exit site; COPII-coated vesicle cargo loading; intracellular protein transport; endoplasmic reticulum to Golgi vesicle-mediated transport; zinc ion binding
OG0008354	transport:TIM23 mitochondrial import inner membrane translocase complex; protein import into mitochondrial matrix
OG0008355	binding:glutathione-disulfide reductase (NADP) activity; mitochondrion; cytosol; glutathione metabolic process; cellular response to oxidative stress; cell redox homeostasis; flavin adenine dinucleotide binding; oxidoreductase activity
OG0008356	binding:RNA binding; nucleic acid binding; nucleus; mRNA processing
OG0008358	unknown:cytoplasm
OG0008360	binding:DNA binding; ATP binding; double-strand break repair via break-induced replication; single-stranded DNA binding; nucleus; DNA unwinding involved in DNA replication; DNA strand elongation involved in DNA replication; single-stranded DNA helicase activity; MCM complex; mitotic DNA replication initiation
OG0008361	transport:protein binding; voltage-gated potassium channel activity; potassium ion transport; monoatomic ion channel activity; monoatomic ion transport; membrane; transmembrane transport
OG0008362	binding:plastid; cis-trans isomerase activity; strigolactone biosynthetic process; iron ion binding
OG0008364	unknown:nucleolus; ribosome biogenesis
OG0008365	binding:protein binding; protein kinase activity; ATP binding; protein phosphorylation
OG0008367	signaling:negative regulation of abscisic acid-activated signaling pathway
OG0008368	binding:protein binding
OG0008369	transport:endoplasmic reticulum to Golgi vesicle-mediated transport; vesicle-mediated transport; TRAPP complex
OG0008370	signaling:phosphorelay signal transduction system; phosphorelay sensor kinase activity; signal transduction
OG0008372	binding:microtubule motor activity; ATP binding; microtubule-based movement; microtubule binding
OG0008373	unknown:nucleus
OG0008374	binding:ATP binding; methylcrotonoyl-CoA carboxylase activity; mitochondrion; metal ion binding
OG0008375	binding:zinc ion binding; RNA binding; RNA modification; protein binding; intracellular membrane-bounded organelle
OG0008378	unknown:cyclin-dependent protein serine/threonine kinase inhibitor activity; negative regulation of cyclin-dependent protein serine/threonine kinase activity; regulation of cell cycle; nucleus
OG0008379	binding:proteolysis; metal ion binding; metalloendopeptidase activity; mitochondrion; chloroplast; protein processing
OG0008380	binding:microtubule cytoskeleton organization; cytoplasmic microtubule; microtubule binding; tubulin binding
OG0008381	transport:Golgi membrane; endoplasmic reticulum membrane; endoplasmic reticulum-Golgi intermediate compartment; endoplasmic reticulum to Golgi vesicle-mediated transport; COPII-coated ER to Golgi transport vesicle
OG0008382	binding:ATP-dependent peptidase activity; serine-type endopeptidase activity; protein quality control for misfolded or incompletely synthesized proteins; endopeptidase Clp complex; ATPase binding
OG0008385	binding:nucleic acid binding; ATP binding; RNA binding; helicase activity; intracellular anatomical structure
OG0008386	signaling:endoplasmic reticulum; ethylene receptor activity; ethylene binding; phosphorelay sensor kinase activity; signal transduction; phosphorelay signal transduction system; protein binding
OG0008387	signaling:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; cytoplasm; intracellular signal transduction
OG0008388	binding:protein binding
OG0008389	catalytic activity:glutaminase activity; vitamin B6 biosynthetic process; pyridoxal phosphate biosynthetic process; cytosol; pyridoxine metabolic process; glutaminase complex
OG0008390	binding:cytoplasm; protein folding; prefoldin complex; unfolded protein binding
OG0008391	catalytic activity:pollen tube growth; carboxylic ester hydrolase activity; hydrolase activity
OG0008392	binding:protein binding; RNA binding; RNA modification; zinc ion binding
OG0008394	unknown:cytosol; regulation of translation; protein kinase regulator activity; cellular response to amino acid starvation
OG0008395	binding:protein binding; protein peptidyl-prolyl isomerization; peptidyl-prolyl cis-trans isomerase activity
OG0008396	unknown:regulation of DNA-templated transcription; CCR4-NOT core complex
OG0008397	unknown:endoplasmic reticulum; macroautophagy
OG0008398	transport:chloroplast organization; chloroplast outer membrane; membrane; protein import into chloroplast stroma; outer membrane
OG0008399	binding:cytoplasm; protein refolding; unfolded protein binding; chaperone cofactor-dependent protein refolding
OG0008400	binding:DNA binding; ATP binding; DNA repair; ATP-dependent DNA damage sensor activity; four-way junction DNA binding; double-strand break repair via homologous recombination; double-stranded DNA binding; single-stranded DNA binding; replication fork; ATP-dependent activity, acting on DNA; Rad51B-Rad51C-Rad51D-XRCC2 complex
OG0008401	binding; catalytic activity:tryptophan-tRNA ligase activity; cytoplasm; tryptophanyl-tRNA aminoacylation; nucleotide binding; aminoacyl-tRNA ligase activity; ATP binding; tRNA aminoacylation for protein translation
OG0008404	binding:ubiquitin-protein transferase activity; protein ubiquitination; protein binding
OG0008405	binding:protein binding; nucleus
OG0008406	binding; catalytic activity:DNA clamp loader activity; nucleus; DNA replication factor C complex; DNA-templated DNA replication; DNA repair; DNA binding; DNA replication
OG0008407	unknown:mitochondrial respirasome assembly
OG0008408	binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity
OG0008409	unknown:GTPase activator activity; signal transduction
OG0008410	unknown:maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); nucleolus
OG0008411	binding:DNA binding; regulation of DNA-templated transcription; DNA-binding transcription factor activity
OG0008412	binding:protein binding; RNA binding; RNA modification
OG0008413	unknown:meiotic DNA double-strand break formation
OG0008414	binding:protein kinase activity; protein phosphorylation; protein binding; receptor serine/threonine kinase binding; ATP binding
OG0008415	catalytic activity:Golgi membrane; endoplasmic reticulum membrane; trans-Golgi network; plasma membrane; phosphotransferase activity, for other substituted phosphate groups; sphingomyelin synthase activity; inositol phosphoceramide synthase activity; ceramide biosynthetic process; ceramide cholinephosphotransferase activity
OG0008416	binding:calcium ion binding; endoplasmic reticulum; endoplasmic reticulum calcium ion homeostasis
OG0008418	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding
OG0008420	unknown:cytokinesis by cell plate formation
OG0008421	carbohydrate metabolism:L-arabinose metabolic process; alpha-L-arabinofuranosidase activity; carbohydrate metabolic process
OG0008422	binding:pseudouridine synthesis; RNA binding; RNA modification; pseudouridine synthase activity; enzyme-directed rRNA pseudouridine synthesis
OG0008423	unknown:cytoplasm
OG0008424	immune/defense:plasma membrane; defense response to other organism
OG0008425	transport:GTPase activator activity; cytoplasm; plasma membrane; exocytosis; Golgi to plasma membrane transport; syntaxin binding; myosin II binding; protein binding
OG0008426	unknown:rRNA processing; small-subunit processome; nucleolus
OG0008427	binding; catalytic activity:ATP binding; metal ion binding; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; cytoplasm; glutamine metabolic process; nitrogen compound metabolic process
OG0008428	binding:protein binding
OG0008429	binding:RNA binding; RNA modification; protein binding
OG0008431	catalytic activity:suberin biosynthetic process; long-chain fatty-acyl-CoA metabolic process; intracellular membrane-bounded organelle; alcohol-forming very long-chain fatty acyl-CoA reductase activity
OG0008432	catalytic activity:crossover junction DNA endonuclease activity
OG0008434	binding:protein binding
OG0008435	catalytic activity:protein disulfide isomerase activity; endoplasmic reticulum; protein folding
OG0008436	transport:carbohydrate transport; membrane; sugar transmembrane transporter activity
OG0008437	binding:pseudouridine synthesis; RNA binding; RNA modification; pseudouridine synthase activity; tRNA pseudouridine synthesis
OG0008438	transport:endoplasmic reticulum to Golgi vesicle-mediated transport; vesicle-mediated transport; TRAPP complex
OG0008439	unknown:structural constituent of ribosome; ribosome; translation
OG0008440	catalytic activity:protein serine/threonine phosphatase activity; protein dephosphorylation
OG0008441	transport:membrane; transmembrane transport; monoatomic cation transport; monoatomic cation transmembrane transporter activity
OG0008442	transport:cis-Golgi network; trans-Golgi network; endoplasmic reticulum to Golgi vesicle-mediated transport; TRAPP complex; regulation of GTPase activity; Golgi vesicle transport
OG0008444	unknown:chloroplast thylakoid membrane
OG0008445	binding:ubiquitin-protein transferase activity; protein ubiquitination; protein binding
OG0008446	transport:membrane; transmembrane transporter activity; transmembrane transport; L-glutamate transmembrane transporter activity; L-alanine transmembrane transporter activity; gamma-aminobutyric acid transmembrane transporter activity; L-lysine transmembrane transporter activity; gamma-aminobutyric acid transport
OG0008448	unknown:cytoplasm; proteolysis involved in protein catabolic process; proteasome core complex; protein catabolic process
OG0008449	transport:autophagosome assembly; phagophore assembly site; cytoplasm; endosome; peroxisome; endocytosis; membrane; 1-phosphatidylinositol-3-kinase activity; autophagy of peroxisome; phosphatidylinositol 3-kinase complex, class III, type I; phosphatidylinositol 3-kinase complex, class III, type II; phosphatidylinositol-3-phosphate biosynthetic process; phosphatidylinositol phosphate biosynthetic process; phosphatidylinositol-mediated signaling; phosphatidylinositol kinase activity
OG0008450	binding:protein kinase activity; ATP binding; protein phosphorylation; protein binding
OG0008451	unknown; transport:membrane; ABC-type transporter activity; ATP binding; ATP hydrolysis activity; ATPase-coupled transmembrane transporter activity; transmembrane transport
OG0008452	binding:double-strand break repair via homologous recombination; DNA binding
OG0008454	binding:carbohydrate metabolic process; alpha-amylase activity; calcium ion binding
OG0008455	binding:protein binding
OG0008456	binding:nucleic acid binding; ATP binding; RNA binding; helicase activity; intracellular anatomical structure
OG0008457	binding:RNA binding; RNA modification; zinc ion binding; protein binding
OG0008458	transport:vesicle-mediated transport; Mon1-Ccz1 complex; intracellular membrane-bounded organelle
OG0008462	catalytic activity:cytosol; terpenoid biosynthetic process; isopentenyl phosphate kinase activity
OG0008466	catalytic activity:mitochondrion; tRNA modification; cytokinin biosynthetic process; AMP dimethylallyltransferase activity; tRNA dimethylallyltransferase activity
OG0008467	binding:cytoplasm; ferrous iron binding; oxidative RNA demethylation; oxidative RNA demethylase activity; broad specificity oxidative DNA demethylase activity; oxidative single-stranded DNA demethylation
OG0008468	catalytic activity:long-chain fatty acid-CoA ligase activity; CoA-ligase activity; fatty-acyl-CoA biosynthetic process
OG0008469	binding:RNA binding; nucleic acid binding
OG0008474	catalytic activity:chloroplast; oxidoreductase activity; chlorophyll cycle; oxidoreductase activity, acting on CH or CH2 groups, with an iron-sulfur protein as acceptor; 7-hydroxymethyl chlorophyll a reductase activity
OG0008475	catalytic activity:aspartic-type endopeptidase activity; proteolysis
OG0008476	unknown:plasma membrane
OG0008477	binding:RNA binding; mRNA binding; cytoplasm; mRNA destabilization
OG0008478	unknown:membrane
OG0008480	binding:zinc ion binding; nucleus; regulation of DNA-templated transcription; photomorphogenesis
OG0008481	binding:protein binding
OG0008482	binding:lipid transporter activity; phospholipid binding; chloroplast inner membrane
OG0008483	unknown:proteasome core complex; protein catabolic process; ubiquitin-dependent protein catabolic process; proteasome core complex, alpha-subunit complex
OG0008484	catalytic activity:hydrolase activity, acting on ester bonds
OG0008485	unknown:photosystem II; chloroplast thylakoid lumen; photosystem II repair; photosystem II assembly
OG0008486	binding:calcium ion binding; zinc ion binding
OG0008487	binding:actin binding; plasma membrane; actin filament binding
OG0008488	transport:SNARE binding; lytic vacuole; endosome; SNARE complex assembly
OG0008489	binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; nucleus; cyclin-dependent protein kinase activating kinase activity
OG0008490	unknown:transcription corepressor activity; nucleus
OG0008491	binding:RNA binding; RNA modification; protein binding
OG0008492	unknown:nucleus; nucleosome assembly
OG0008493	transport:SNAP receptor activity; endoplasmic reticulum; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum; SNARE complex
OG0008495	unknown:mitochondrion; electron transfer activity; amino acid catabolic process; fatty acid beta-oxidation using acyl-CoA dehydrogenase
OG0008496	catalytic activity:polygalacturonase activity; carbohydrate metabolic process
OG0008497	transport:intracellular protein transport; endoplasmic reticulum to Golgi vesicle-mediated transport; COPII vesicle coat; GTPase activator activity; endoplasmic reticulum exit site; COPII-coated vesicle cargo loading; zinc ion binding
OG0008498	unknown:proteasome core complex; protein catabolic process
OG0008499	unknown:negative regulation of apoptotic process; protein stabilization
OG0008500	catalytic activity:phosphoprotein phosphatase activity; nucleus; mRNA processing
OG0008501	binding:RNA binding; RNA modification; zinc ion binding
OG0008502	catalytic activity:hydrolase activity
OG0008503	binding:double-strand break repair; ATP hydrolysis activity; telomere maintenance via recombination; condensed nuclear chromosome; double-stranded telomeric DNA binding; telomere maintenance via telomerase; Mre11 complex; DNA duplex unwinding; single-stranded telomeric DNA binding; G-quadruplex DNA binding; chromosome organization involved in meiotic cell cycle
OG0008504	unknown:chloroplast stroma
OG0008505	binding; unknown:protein binding; histone deacetylase complex; transcription coregulator activity; regulation of DNA-templated transcription
OG0008507	unknown:calcium-activated cation channel activity; plasma membrane; membrane
OG0008508	catalytic activity:nucleus; methyltransferase activity; RNA N6-methyladenosine methyltransferase complex; mRNA methylation
OG0008510	unknown:GPI anchor biosynthetic process; endoplasmic reticulum membrane
OG0008511	binding; catalytic activity:DNA binding; ATP binding; hydrolase activity; nucleotide-excision repair factor 3 complex; transcription factor TFIIH holo complex; transcription initiation at RNA polymerase II promoter; 3'-5' DNA helicase activity; transcription preinitiation complex
OG0008513	catalytic activity:cytoplasm; thioredoxin peroxidase activity; chloroplast thylakoid membrane; cellular response to oxidative stress; cell redox homeostasis; antioxidant activity; oxidoreductase activity
OG0008515	binding:DNA binding; single-stranded DNA endodeoxyribonuclease activity; nucleotide-excision repair factor 1 complex; resolution of meiotic recombination intermediates; double-strand break repair via homologous recombination; damaged DNA binding; single-stranded DNA binding; nucleotide-excision repair involved in interstrand cross-link repair
OG0008516	unknown:plastid; plastid translation; ribosome
OG0008518	catalytic activity:chloroplast; carotene beta-ring hydroxylase activity; carotene metabolic process; xanthophyll biosynthetic process; oxidoreductase activity
OG0008519	binding:iron ion binding
OG0008520	binding:superoxide metabolic process; metal ion binding; copper ion binding
OG0008522	catalytic activity:photoreactive repair; deoxyribodipyrimidine photo-lyase activity
OG0008523	catalytic activity:metalloendopeptidase activity; mitochondrial proton-transporting ATP synthase complex assembly; mitochondrial protein processing
OG0008524	unknown:membrane; transmembrane transporter activity
OG0008525	binding:protein binding; serine-type endopeptidase activity; proteolysis
OG0008526	binding:DNA binding
OG0008527	unknown:snRNA processing; integrator complex; snRNA 3'-end processing
OG0008529	binding:protein binding
OG0008530	binding:protein binding
OG0008531	binding:RNA binding
OG0008532	binding:protein binding; RNA binding; RNA modification
OG0008533	binding:RNA polymerase I activity; RNA polymerase II activity; RNA polymerase III activity; RNA polymerase II, core complex; RNA polymerase III complex; RNA polymerase I complex; transcription by RNA polymerase I; transcription by RNA polymerase II; tRNA transcription by RNA polymerase III; DNA binding; DNA-directed 5'-3' RNA polymerase activity; DNA-templated transcription
OG0008534	binding:cytoplasm; ATP hydrolysis activity; GTP binding
OG0008535	binding:protein binding; RNA binding; RNA modification; intracellular membrane-bounded organelle
OG0008536	binding:translation elongation factor activity; translational elongation; guanyl-nucleotide exchange factor activity; cytosol; eukaryotic translation elongation factor 1 complex
OG0008537	binding:nuclear exosome (RNase complex); cytoplasmic exosome (RNase complex); exosome (RNase complex); exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); RNA binding; nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'; U4 snRNA 3'-end processing; exonucleolytic catabolism of deadenylated mRNA; CUT catabolic process; nuclear polyadenylation-dependent rRNA catabolic process; nuclear polyadenylation-dependent tRNA catabolic process; polyadenylation-dependent snoRNA 3'-end processing
OG0008538	binding:resolution of meiotic recombination intermediates; sister chromatid segregation; nucleus; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity; ATP binding; DNA binding; DNA topological change
OG0008539	binding:protein binding
OG0008540	catalytic activity:oxidoreductase activity
OG0008541	unknown:resolution of meiotic recombination intermediates; DNA repair; replication fork processing; kinetochore assembly; FANCM-MHF complex
OG0008542	binding:nucleic acid binding; zinc ion binding
OG0008543	unknown:nucleus; rRNA processing
OG0008544	binding:RNA binding; RNA modification
OG0008545	binding; signaling:mRNA binding; protein binding; mitochondrion; RNA processing; mitochondrion organization; chloroplast; chloroplast-nucleus signaling pathway; mitochondria-nucleus signaling pathway
OG0008546	binding:nucleus; cytoplasm; 2-oxoglutarate-dependent dioxygenase activity; protein hydroxylation; sequence-specific DNA binding; positive regulation of translational termination
OG0008548	catalytic activity:chloroplast; protein peptidyl-prolyl isomerization; peptidyl-prolyl cis-trans isomerase activity
OG0008549	transport:endoplasmic reticulum; endoplasmic reticulum membrane; intracellular protein transport; endoplasmic reticulum to Golgi vesicle-mediated transport; membrane; protein localization to endoplasmic reticulum exit site
OG0008550	unknown:chloroplast
OG0008553	unknown:endoplasmic reticulum membrane; GPI anchor biosynthetic process
OG0008554	binding:SAGA complex; methylated histone binding
OG0008555	binding:RNA binding; RNA modification
OG0008556	binding:zinc ion binding; RNA binding; RNA modification; protein binding
OG0008557	carbohydrate metabolism:glucose-6-phosphate dehydrogenase activity; glucose metabolic process; NADP binding; cytosol; pentose-phosphate shunt, oxidative branch; oxidoreductase activity, acting on CH-OH group of donors
OG0008558	transport:proton-transporting ATPase activity, rotational mechanism; proton-transporting V-type ATPase, V0 domain; proton transmembrane transport
OG0008559	binding:calmodulin binding
OG0008560	catalytic activity:oxidoreductase activity, acting on iron-sulfur proteins as donors
OG0008562	unknown:plasma membrane; embryo development ending in seed dormancy; pollen tube guidance
OG0008563	binding:zinc ion binding; cytoplasm
OG0008564	unknown:regulation of photosynthesis, light reaction
OG0008565	catalytic activity:lipid metabolic process; defense response; carboxylic ester hydrolase activity
OG0008569	unknown:plasma membrane; plant-type secondary cell wall biogenesis
OG0008570	binding:RNA binding; regulation of DNA-templated transcription
OG0008571	unknown:membrane; chloroplast inner membrane
OG0008572	binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding
OG0008573	binding:protein binding
OG0008574	transport:vesicle-mediated transport
OG0008575	unknown:guanyl-nucleotide exchange factor activity; cytoplasm
OG0008577	binding:protein binding; nucleus; regulation of DNA-templated transcription
OG0008578	binding:protein dimerization activity; DNA-binding transcription factor activity; regulation of DNA-templated transcription; intracellular iron ion homeostasis
OG0008579	unknown:mitochondrion
OG0008580	unknown:plasma membrane; membrane; protein processing
OG0008581	carbohydrate metabolism:polysaccharide catabolic process; beta-amylase activity
OG0008582	unknown:chloroplast
OG0008584	binding:RNA polymerase II complex binding; regulation of DNA-templated transcription; transcription elongation by RNA polymerase II; Cdc73/Paf1 complex; protein binding
OG0008585	transport:zinc ion transmembrane transporter activity; Golgi apparatus; zinc ion transport; intracellular zinc ion homeostasis; metal ion transport; metal ion transmembrane transporter activity
OG0008586	binding:zinc ion binding
OG0008587	binding:actin binding; actin cytoskeleton organization; actin nucleation; actin filament binding
OG0008588	binding:catalytic activity; iron-sulfur cluster binding; mitochondrion; lipoate biosynthetic process; lipoate synthase activity; 4 iron, 4 sulfur cluster binding
OG0008589	binding:starch binding; carbohydrate binding; RNA binding; RNA nuclease activity; cytoplasm; rRNA processing; RNA processing
OG0008591	catalytic activity:ubiquitin-protein transferase activity; protein ubiquitination; ubiquitin ligase complex; protein polyubiquitination; nucleus; cytoplasm; ubiquitin-ubiquitin ligase activity; ERAD pathway; ubiquitin-dependent protein catabolic process
OG0008592	unknown:proteasome core complex; protein catabolic process; cytoplasm; proteolysis involved in protein catabolic process
OG0008593	catalytic activity:carotenoid biosynthetic process; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
OG0008594	binding:zinc ion binding; nucleus; regulation of DNA-templated transcription; photomorphogenesis
OG0008595	binding:protein binding
OG0008597	catalytic activity:pectate lyase activity
OG0008599	catalytic activity:S-adenosylmethionine-dependent methyltransferase activity
OG0008601	catalytic activity:cytoplasm; phosphatase activity; phosphatidylglycerophosphatase activity
OG0008602	immune/defense:nucleus; response to wounding; regulation of defense response; regulation of jasmonic acid mediated signaling pathway
OG0008603	unknown:plant-type cell wall organization
OG0008604	binding:nucleotide binding; aminoacyl-tRNA ligase activity; ATP binding; tRNA aminoacylation for protein translation; leucine-tRNA ligase activity; cytosol; leucyl-tRNA aminoacylation; aminoacyl-tRNA editing activity
OG0008607	binding:protein binding; cytoplasm; N-terminal peptidyl-methionine acetylation
OG0008608	binding:chloroplast; photosynthetic electron transport chain; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; calcium ion binding; photosystem II; photosystem II oxygen evolving complex; photosynthesis; extrinsic component of membrane
OG0008609	catalytic activity:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process
OG0008610	carbohydrate metabolism:glycerol kinase activity; mitochondrion; glycerol metabolic process; triglyceride metabolic process; phosphorylation; glycerol-3-phosphate biosynthetic process; carbohydrate metabolic process; kinase activity
OG0008611	transport:Golgi membrane; trans-Golgi network; Golgi to endosome transport; protein localization to Golgi apparatus; Golgi to plasma membrane protein transport
OG0008612	binding; unknown:protein heterodimerization activity; nucleus; transcription initiation at RNA polymerase II promoter; transcription factor TFIID complex; RNA polymerase II general transcription initiation factor activity; RNA polymerase II preinitiation complex assembly
OG0008613	binding:chromatin binding
OG0008614	binding:cytoplasm; organelle organization; protein binding
OG0008615	binding:DNA-templated transcription; sequence-specific DNA binding
OG0008616	binding; unknown:protein binding; SCF ubiquitin ligase complex; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; cytoplasm
OG0008618	unknown:response to ethylene; response to gibberellin
OG0008619	catalytic activity:hydrolase activity; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; allantoinase activity; cytoplasm; purine nucleobase catabolic process
OG0008620	transport:ribosomal large subunit assembly; ribosomal large subunit export from nucleus; nucleus; preribosome, large subunit precursor; ATP binding; ATP hydrolysis activity
OG0008621	unknown:ribonuclease MRP complex; tRNA 5'-leader removal; nucleolar ribonuclease P complex; tRNA processing
OG0008622	catalytic activity:molybdopterin cofactor biosynthetic process; cytoplasm; cytosol; Mo-molybdopterin cofactor biosynthetic process; molybdopterin molybdotransferase activity
OG0008624	binding:DNA binding; deoxyribodipyrimidine photo-lyase activity; nucleus; cytoplasm; circadian regulation of gene expression; entrainment of circadian clock by photoperiod; FAD binding
OG0008625	binding:RNA binding; RNA helicase activity; ATP binding; nucleus; nucleic acid binding; cytosol
OG0008626	binding:RNA polymerase II complex binding; chromatin binding; transcription elongation by RNA polymerase II; Cdc73/Paf1 complex
OG0008632	transport:intracellular protein transport; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum; intra-Golgi vesicle-mediated transport; COPI vesicle coat
OG0008633	transport:intracellular transport; nuclear pore
OG0008634	binding:nucleolus; RNA binding; nucleic acid binding; poly(A) binding
OG0008635	catalytic activity:glycoprotein biosynthetic process; glycosyltransferase activity
OG0008637	binding:protein binding
OG0008638	binding:DNA binding; regulation of DNA-templated transcription; DNA-binding transcription factor activity
OG0008639	binding:ubiquitin-protein transferase activity; protein polyubiquitination; cytoplasm; ubiquitin-dependent protein catabolic process; protein ubiquitination; ubiquitin protein ligase activity; protein binding
OG0008640	unknown:endoplasmic reticulum membrane; protein folding
OG0008641	binding:protein binding; mRNA binding; mitochondrion; RNA processing; mitochondrion organization
OG0008644	binding; signaling:protein binding; chloroplast; chloroplast-nucleus signaling pathway; mitochondria-nucleus signaling pathway
OG0008645	binding:RNA binding; RNA modification; protein binding
OG0008646	carbohydrate metabolism:glycogen biosynthetic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process
OG0008648	binding:protein binding
OG0008649	catalytic activity:RNA polymerase II CTD heptapeptide repeat phosphatase activity; NA
OG0008650	unknown:nucleus
OG0008651	binding:mRNA binding; mitochondrion; RNA processing; mitochondrion organization; protein binding
OG0008652	catalytic activity:ubiquitin-like modifier activating enzyme activity; autophagosome assembly; phagophore assembly site; autophagy of mitochondrion; cytoplasm; C-terminal protein lipidation; cellular response to nitrogen starvation; Atg12 activating enzyme activity; Atg8 activating enzyme activity; protein modification by small protein conjugation; piecemeal microautophagy of the nucleus
OG0008653	binding:GTPase activity; nickel cation binding; urea catabolic process
OG0008654	binding; unknown:SCF ubiquitin ligase complex; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; protein binding
OG0008657	binding:protein binding
OG0008658	binding:protein-heme linkage; cytochrome complex assembly; heme binding; plasma membrane
OG0008659	unknown:structural constituent of ribosome; ribosome; translation; small ribosomal subunit; mitochondrial translation
OG0008661	unknown; binding:membrane; protein binding
OG0008662	binding; catalytic activity:carbohydrate metabolic process; carbohydrate binding; hydrolase activity, hydrolyzing O-glycosyl compounds
OG0008663	catalytic activity:Golgi apparatus; O-acetyltransferase activity; transferase activity
OG0008664	unknown:membrane
OG0008665	unknown:cytoplasm
OG0008666	unknown:cortical microtubule; protein localization to cortical microtubule cytoskeleton
OG0008668	binding:protein binding; protein ubiquitination; positive regulation of protein catabolic process
OG0008669	transport:monoatomic cation transport; monoatomic cation transmembrane transporter activity; membrane; transmembrane transport
OG0008670	binding:protein binding; cis-regulatory region sequence-specific DNA binding; nucleus
OG0008674	catalytic activity:glutathione transferase activity; L-phenylalanine catabolic process; glutathione metabolic process; maleylacetoacetate isomerase activity
OG0008675	binding:RNA binding; nucleic acid binding; mRNA binding; chloroplast thylakoid membrane; chloroplast rRNA processing
OG0008676	binding:sequence-specific DNA binding
