Orthogroup	d
OG0000122	catalytic activity:quercetin 3-O-glucosyltransferase activity; quercetin 7-O-glucosyltransferase activity; UDP-glycosyltransferase activity
OG0000123	catalytic activity; binding:terpene synthase activity; lyase activity; terpenoid biosynthetic process; magnesium ion binding
OG0000124	binding:protein kinase activity; ATP binding; protein phosphorylation
OG0000125	catalytic activity:oxidoreductase activity
OG0000126	unknown:membrane; transmembrane transporter activity
OG0000127	binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding
OG0000128	binding:nucleic acid binding; zinc ion binding
OG0000129	binding; unknown:protein serine/threonine kinase activity; recognition of pollen; protein kinase activity; ATP binding; protein phosphorylation; plasma membrane; protein tyrosine kinase activity
OG0000130	catalytic activity; binding:methyltransferase activity; O-methyltransferase activity; protein dimerization activity
OG0000132	binding:protein kinase activity; ATP binding; protein phosphorylation; recognition of pollen; protein serine/threonine kinase activity; plasma membrane; protein tyrosine kinase activity
OG0000133	catalytic activity:glutathione transferase activity; cytoplasm; glutathione metabolic process
OG0000134	binding; catalytic activity:protein kinase activity; ATP binding; protein phosphorylation
OG0000135	carbohydrate metabolism:pectinesterase activity; pectin catabolic process; carboxylic ester hydrolase activity; cell wall modification
OG0000136	transport; binding:ATP binding; membrane; transmembrane transport; ABC-type transporter activity; ATP hydrolysis activity; plasma membrane; ATPase-coupled transmembrane transporter activity
OG0000137	binding:nucleosome; DNA binding; structural constituent of chromatin; protein heterodimerization activity
OG0000138	catalytic activity:UDP-glucosyltransferase activity; UDP-glycosyltransferase activity
OG0000139	binding; catalytic activity:carbohydrate binding; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process
OG0000140	catalytic activity:hydrolase activity, acting on ester bonds; lipase activity
OG0000141	binding; catalytic activity:protein serine/threonine kinase activity; protein phosphorylation; signal transduction; protein kinase activity; ATP binding
OG0000142	binding; catalytic activity:copper ion binding; oxidoreductase activity
OG0000145	binding:nucleic acid binding; zinc ion binding
OG0000146	catalytic activity:oxidoreductase activity
OG0000147	binding:ATP binding; ATP hydrolysis activity
OG0000148	unknown:purine nucleoside transmembrane transporter activity; membrane
OG0000149	binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; membrane; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
OG0000150	binding; catalytic activity:oxidoreductase activity; copper ion binding
OG0000151	transport:lipid transport; lipid binding
OG0000152	catalytic activity:cytoplasm; indole-3-acetic acid amido synthetase activity; acid-amino acid ligase activity
OG0000153	transport:antiporter activity; membrane; xenobiotic transmembrane transporter activity; transmembrane transport
OG0000154	binding; unknown:signal transduction; defense response; ADP binding; protein binding; cytoplasm
OG0000155	unknown:DNA integration
OG0000156	binding; unknown:recognition of pollen; protein kinase activity; ATP binding; protein phosphorylation; protein tyrosine kinase activity
OG0000157	catalytic activity:glutathione transferase activity; cytoplasm; glutathione metabolic process
OG0000158	catalytic activity:endoplasmic reticulum; auxin metabolic process; IAA-Ala conjugate hydrolase activity; hydrolase activity
OG0000159	binding:protein binding; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; metal ion binding; lipid oxidation
OG0000160	signaling; binding:chloroplast; chloroplast-nucleus signaling pathway; mitochondria-nucleus signaling pathway; protein binding; mRNA binding; mitochondrion; RNA processing; mitochondrion organization
OG0000161	binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding
OG0000163	binding; catalytic activity:methyltransferase activity; protein dimerization activity; O-methyltransferase activity
OG0000164	catalytic activity:lipid metabolic process; O-acyltransferase activity
OG0000165	binding:protein kinase activity; protein phosphorylation; protein binding; protein serine/threonine kinase activity; ATP binding
OG0000166	binding:FMN binding; oxidoreductase activity; peroxisome; jasmonic acid biosynthetic process; 12-oxophytodienoate reductase activity; oxylipin biosynthetic process
OG0000167	transport:monoatomic ion channel activity; monoatomic ion transport; membrane; transmembrane transport
OG0000168	unknown; binding:membrane; ABC-type transporter activity; ATP binding; ATP hydrolysis activity
OG0000169	transport:plasma membrane; monoatomic cation transport; sodium:proton antiporter activity; potassium:proton antiporter activity; membrane; regulation of intracellular pH; potassium ion transmembrane transport; regulation of stomatal closure; sodium ion import across plasma membrane; proton transmembrane transport; antiporter activity; transmembrane transport
OG0000171	binding; unknown; signaling:protein binding; mRNA binding; RNA splicing; chloroplast; chloroplast-nucleus signaling pathway; mitochondria-nucleus signaling pathway; mitochondrion; RNA processing; mitochondrion organization
OG0000174	transport:monoatomic anion transport; membrane; solute:inorganic anion antiporter activity; plasma membrane; transmembrane transporter activity; monoatomic ion homeostasis; transmembrane transport; active borate transmembrane transporter activity
OG0000175	binding:DNA binding; protein heterodimerization activity; nucleosome; structural constituent of chromatin
OG0000179	catalytic activity:methyltransferase activity
OG0000180	binding:peroxidase activity; response to oxidative stress; heme binding
OG0000183	catalytic activity:phospholipase activity; acylglycerol lipase activity; lipid metabolic process
OG0000185	catalytic activity:proteolysis; serine-type peptidase activity; serine-type endopeptidase activity
OG0000186	signaling; binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; plasma membrane; cell surface receptor signaling pathway; calcium ion binding; polysaccharide binding; membrane
OG0000187	binding:protein binding
OG0000188	binding:protein binding; RNA binding; RNA modification; zinc ion binding; mitochondrion; intracellular membrane-bounded organelle
OG0000189	binding:RNA binding; helicase activity; intracellular anatomical structure; nucleic acid binding; ATP binding; catalytic step 2 spliceosome; spliceosomal complex disassembly; double-stranded RNA binding; nucleolus; positive regulation of transcription by RNA polymerase I; ATP hydrolysis activity
OG0000190	binding:protein binding; receptor serine/threonine kinase binding
OG0000192	binding; unknown:regulation of DNA-templated transcription; zinc ion binding
OG0000193	catalytic activity:lipid metabolic process; triglyceride lipase activity
OG0000194	catalytic activity:Golgi apparatus; glycosyltransferase activity
OG0000195	catalytic activity:acyltransferase activity, transferring groups other than amino-acyl groups
OG0000196	binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity
OG0000197	catalytic activity:hydrolase activity
OG0000198	transport:plasma membrane; ammonium transmembrane transporter activity; membrane; ammonium transmembrane transport
OG0000199	catalytic activity:UDP-glycosyltransferase activity; quercetin 3-O-glucosyltransferase activity; quercetin 7-O-glucosyltransferase activity
OG0000201	catalytic activity:serine-type carboxypeptidase activity; proteolysis; acyltransferase activity, transferring groups other than amino-acyl groups; secondary metabolic process
OG0000202	unknown:ligand-gated monoatomic ion channel activity; membrane
OG0000203	binding:protein kinase activity; ATP binding; protein phosphorylation; carbohydrate binding; protein tyrosine kinase activity
OG0000204	binding:N,N-dimethylaniline monooxygenase activity; flavin adenine dinucleotide binding; NADP binding
OG0000205	transport:membrane; carbohydrate transport; sugar transmembrane transporter activity
OG0000207	transport:carbohydrate transmembrane transporter activity; transmembrane transporter activity; membrane; transmembrane transport
OG0000208	carbohydrate metabolism:membrane; cellulose synthase (UDP-forming) activity; cellulose biosynthetic process
OG0000209	transport; binding:ATP binding; membrane; mitochondrial inner membrane; ABC-type oligopeptide transporter activity; oligopeptide export from mitochondrion; ATP hydrolysis activity; chloroplast envelope; ATPase-coupled transmembrane transporter activity; transmembrane transport; ABC-type transporter activity; plasma membrane
OG0000210	binding:copper ion binding; primary amine oxidase activity; amine metabolic process; quinone binding
OG0000211	catalytic activity:serine-type endopeptidase activity; proteolysis; serine-type peptidase activity
OG0000212	immune/defense; catalytic activity; binding:chitinase activity; defense response to fungus; chitin catabolic process; cell wall macromolecule catabolic process; chitin binding
OG0000214	carbohydrate metabolism:6-phosphofructokinase activity; glycolytic process
OG0000216	unknown:ligand-gated monoatomic ion channel activity; membrane
OG0000217	binding:protein kinase activity; ATP binding; protein phosphorylation; protein binding; receptor serine/threonine kinase binding
