d	Orthogroup	Batocarpus	HART001A	HART001B	HART027A	HART027B	HART058A	HART058B	HART060A	HART060B	HART062A	HART062B	HART063A	HART063B	HART067A	HART067B	HART068A	HART068B	Morus	N9750A	N9750B
binding; unknown:protein binding; signal transduction; ADP binding; defense response; cytoplasm	OG0000053	26	12	2	12	3	12	2	12	2	13	2	12	2	12	2	11	3	6	12	2
NA	OG0000054	10	9	7	9	7	7	7	8	7	9	7	9	7	9	7	9	6	9	7	7
binding; unknown:ATP binding; ATP hydrolysis activity; ABC-type transporter activity; membrane	OG0000055	12	9	6	9	7	10	5	10	5	9	7	10	7	9	5	10	7	8	8	7
catalytic activity:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; steroid biosynthetic process	OG0000056	15	11	6	12	6	10	5	8	4	10	3	13	6	11	6	11	2	3	8	5
NA	OG0000057	15	13	5	10	4	9	4	8	4	9	5	13	6	11	5	9	4	7	9	4
transport; unknown:transmembrane transporter activity; membrane; transmembrane transport	OG0000058	9	10	7	8	6	8	6	7	7	8	7	12	7	11	6	7	7	5	7	7
binding:DNA binding; protein dimerization activity; nucleus; regulation of transcription by RNA polymerase II; sequence-specific double-stranded DNA binding	OG0000059	10	12	5	6	8	8	10	2	8	8	10	10	8	11	6	3	8	8	1	7
signaling; binding; catalytic activity:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; plasma membrane; cell surface receptor signaling pathway; polysaccharide binding; membrane; calcium ion binding; protein tyrosine kinase activity	OG0000060	6	13	4	7	6	12	4	15	8	10	3	17	7	10	6	6	5	2	9	5
binding:protein kinase activity; polysaccharide binding; ATP binding; protein phosphorylation; kinase activity; phosphorylation	OG0000061	12	10	6	9	6	10	5	6	6	10	6	10	6	10	6	8	5	5	7	4
catalytic activity:acyltransferase activity; biosynthetic process; acyltransferase activity, transferring groups other than amino-acyl groups; polyketide biosynthetic process	OG0000062	14	12	2	11	5	10	3	7	4	11	2	13	3	13	3	7	4	13	7	4
binding; immune/defense:protein binding; ADP binding; defense response; defense response to other organism	OG0000063	14	6	9	9	7	5	9	2	8	5	9	8	9	7	8	5	6	9	5	4
carbohydrate metabolism; binding:membrane; cellulose synthase (UDP-forming) activity; cellulose biosynthetic process; protein binding	OG0000064	9	7	8	7	7	7	7	7	7	7	8	7	7	7	7	7	7	9	6	7
catalytic activity:sulfotransferase activity	OG0000065	10	11	6	10	5	11	6	8	3	9	6	11	5	11	6	8	4	4	7	4
catalytic activity:fatty acid biosynthetic process; membrane; acyltransferase activity, transferring groups other than amino-acyl groups; acyltransferase activity	OG0000066	9	7	8	7	6	6	6	6	7	7	8	7	8	7	8	7	6	9	7	6
binding; catalytic activity:polysaccharide binding; protein kinase activity; ATP binding; protein phosphorylation; protein tyrosine kinase activity	OG0000067	13	10	3	11	3	11	3	9	3	11	3	11	4	10	4	11	2	6	11	4
catalytic activity:hydrolase activity, acting on ester bonds	OG0000068	11	8	8	8	9	6	8	7	4	6	8	7	9	7	8	3	8	10	3	6
NA	OG0000069	12	7	10	4	8	7	5	5	7	6	7	7	10	7	10	6	7	6	4	7
catalytic activity:protein serine/threonine phosphatase activity; nucleus; cytoplasm; hydrolase activity	OG0000070	9	6	9	5	9	7	6	7	6	5	8	7	9	6	9	6	5	8	6	7
binding:protein binding; cysteine-type deubiquitinase activity; nucleus; cytosol; protein deubiquitination; regulation of protein stability	OG0000071	5	12	4	14	4	10	4	5	2	14	4	13	5	13	5	7	3	2	7	3
NA	OG0000072	10	6	7	5	10	10	4	6	2	9	7	10	7	6	6	4	5	9	8	4
unknown:phloem development	OG0000073	21	6	9	5	8	6	8	5	4	7	7	8	8	3	8	5	4	6	5	4
unknown:plant-type cell wall organization	OG0000074	8	7	7	6	6	7	7	7	7	6	7	7	7	7	7	8	6	7	7	6
binding:nucleic acid binding; zinc ion binding	OG0000075	30	9	4	7	5	5	9	6	4	2	9	10	4	7	3	6	2	4	6	4
binding:protein binding; protein kinase activity; ATP binding; protein phosphorylation; protein tyrosine kinase activity	OG0000076	12	6	8	6	6	5	9	4	7	4	10	7	10	6	8	5	6	7	5	6
binding:protein binding	OG0000077	8	11	4	11	3	8	5	10	1	11	4	12	3	11	2	11	3	6	8	2
binding:protein binding; mRNA binding; electron transfer activity; heme binding; mitochondrion; RNA processing; mitochondrion organization	OG0000078	14	8	4	9	5	8	4	9	5	7	4	10	5	9	4	7	5	7	10	5
immune/defense; binding:defense response; defense response to other organism; ADP binding	OG0000079	10	8	5	6	5	7	5	12	2	10	5	10	6	6	5	13	1	6	9	3
catalytic activity:lipid droplet; triterpenoid biosynthetic process; intramolecular transferase activity; beta-amyrin synthase activity	OG0000080	12	13	2	12	2	9	2	10	1	10	2	13	2	12	2	11	1	8	11	1
catalytic activity:biosynthetic process; acyltransferase activity, transferring groups other than amino-acyl groups; polyketide biosynthetic process; acyltransferase activity	OG0000081	7	3	12	3	12	3	11	9	2	2	12	3	12	3	11	11	2	7	7	4
binding; unknown:membrane; protein binding	OG0000082	11	9	7	6	7	8	7	5	6	8	7	9	8	5	7	6	5	1	5	6
catalytic activity:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; beta-glucosidase activity	OG0000083	8	9	6	9	6	9	5	6	4	9	5	9	7	9	6	8	2	5	6	4
binding:nucleotide binding	OG0000084	8	7	7	7	6	7	6	5	6	6	8	6	8	6	7	6	7	8	6	6
immune/defense; binding:defense response; defense response to other organism; ADP binding	OG0000085	16	12	5	9	4	10	5	3	4	6	7	13	7	6	6	3	4	6	4	4
catalytic activity:oxidoreductase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	OG0000086	9	9	4	9	4	11	4	7	2	11	3	15	4	12	3	9	2	6	7	2
binding:GTP binding; microtubule; microtubule-based process	OG0000087	7	6	7	7	6	6	7	6	7	6	7	6	7	6	7	8	5	7	6	7
signaling; binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; nucleus; cytoplasm; signal transduction; brassinosteroid mediated signaling pathway; peptidyl-threonine phosphorylation; cell differentiation	OG0000088	7	6	6	5	7	6	7	7	6	6	7	6	7	7	6	8	5	7	6	7
catalytic activity:aldo-keto reductase (NADP) activity; cytoplasm	OG0000089	15	7	6	5	5	6	5	6	6	5	6	7	6	7	6	6	7	8	5	7
signaling:RNA nuclease activity; mRNA processing; protein kinase activity; ATP binding; protein phosphorylation; RNA endonuclease activity; protein serine/threonine kinase activity; endoplasmic reticulum unfolded protein response; IRE1-mediated unfolded protein response; unfolded protein binding; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress; IRE1-TRAF2-ASK1 complex	OG0000090	13	10	3	11	4	10	7	4	2	8	6	11	6	10	6	5	2	1	6	1
unknown:DNA integration	OG0000091	15	7	8	6	6	6	8	3	2	7	9	8	10	8	8	6	2	3	2	3
unknown; binding; catalytic activity:recognition of pollen; protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; plasma membrane	OG0000092	11	7	7	6	7	5	7	5	6	5	7	7	7	7	6	5	7	7	4	7
binding; signaling:cytoskeletal motor activity; ATP binding; myosin complex; protein binding; microfilament motor activity; cytoplasm; actin filament organization; actin cytoskeleton; membrane; actin filament binding; pollen tube growth; GTPase activator activity; actin filament; intracellular signal transduction; signal transduction; ruffle; ATP hydrolysis activity; lamellipodium; actin filament-based movement; lamellipodium morphogenesis	OG0000093	8	8	6	8	7	6	5	5	4	7	4	8	7	9	5	6	5	8	4	8
transport:membrane; transmembrane transport	OG0000094	8	8	4	8	5	7	5	7	6	7	5	8	5	8	5	8	5	7	8	5
NA	OG0000095	12	9	3	8	5	9	2	7	4	9	3	10	5	9	4	7	4	6	6	4
NA	OG0000096	7	10	5	8	5	9	3	9	2	10	3	14	7	8	4	8	2	2	8	2
binding; catalytic activity:terpene synthase activity; lyase activity; magnesium ion binding; terpenoid biosynthetic process	OG0000097	15	6	6	4	6	6	6	6	6	5	6	6	6	6	6	4	7	7	6	6
binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; nucleus	OG0000098	7	7	6	7	6	7	6	7	5	6	5	7	6	7	5	7	5	7	7	5
NA	OG0000099	8	10	4	10	4	6	3	7	4	6	4	15	4	15	4	7	0	6	6	0
binding:monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding	OG0000100	11	7	5	7	6	6	6	6	6	7	6	7	6	6	2	6	6	6	8	3
NA	OG0000101	18	8	5	6	3	6	7	4	2	6	5	8	5	6	5	3	2	17	3	2
binding:nucleic acid binding; intracellular membrane-bounded organelle	OG0000102	6	4	8	5	8	3	9	1	12	3	9	4	9	4	8	0	12	3	4	8
NA	OG0000103	6	7	6	5	5	7	5	6	6	6	6	7	6	7	4	6	7	6	6	5
