d	Orthogroup	Batocarpus	HART001A	HART001B	HART027A	HART027B	HART058A	HART058B	HART060A	HART060B	HART062A	HART062B	HART063A	HART063B	HART067A	HART067B	HART068A	HART068B	Morus	N9750A	N9750B
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding	OG0005984	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:biosynthetic process; pyridoxal phosphate binding; amino acid metabolic process; transaminase activity	OG0005985	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:response to red or far red light; negative gravitropism	OG0005986	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0005987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0005988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0005989	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:peptidyl-prolyl cis-trans isomerase activity	OG0005990	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:intracellular membrane-bounded organelle	OG0005991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0005992	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0005993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity	OG0005994	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0005995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0005996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:vacuolar transport	OG0005997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:protein serine/threonine phosphatase activity; protein dephosphorylation	OG0005998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:sterol metabolic process; oxidoreductase activity; monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding	OG0005999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:chloroplast; thylakoid membrane organization	OG0006000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:phosphatidate phosphatase activity; cellular lipid metabolic process	OG0006005	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1
NA	OG0006006	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006007	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:mRNA binding; mitochondrion; RNA processing; mitochondrion organization	OG0006009	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1
catalytic activity:carotenoid biosynthetic process; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	OG0006010	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006011	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
NA	OG0006012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:ATP binding; membrane; transmembrane transport; ABC-type transporter activity; mitochondrial inner membrane; ABC-type oligopeptide transporter activity; oligopeptide export from mitochondrion; ATP hydrolysis activity	OG0006013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process	OG0006014	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:chloroplast outer membrane; galactolipid biosynthetic process; UDP-galactosyltransferase activity; digalactosyldiacylglycerol synthase activity; glycosyltransferase activity	OG0006015	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carbohydrate metabolism:cytoplasm; D-xylose metabolic process; UDP-glucuronate decarboxylase activity; NAD+ binding	OG0006016	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA binding; RNA modification; protein binding	OG0006017	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
transport:ATP binding; ATP hydrolysis activity; membrane; ABC-type transporter activity; lipid transporter activity; lipid transport; ATPase-coupled transmembrane transporter activity; intracellular membrane-bounded organelle; transmembrane transport	OG0006018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; mRNA splicing, via spliceosome; U6 snRNA binding; U4 snRNA binding; U4/U6 x U5 tri-snRNP complex	OG0006019	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:membrane; phosphotransferase activity, for other substituted phosphate groups; UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity; dolichol-linked oligosaccharide biosynthetic process	OG0006020	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:nucleic acid binding; ATP binding; RNA helicase activity	OG0006021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:nuclear pore; protein import into nucleus; poly(A)+ mRNA export from nucleus; structural constituent of nuclear pore	OG0006022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:microtubule cytoskeleton organization; mitotic cell cycle; spindle pole; gamma-tubulin complex; microtubule organizing center; microtubule nucleation; cytoplasmic microtubule organization; gamma-tubulin binding; microtubule minus-end binding; spindle assembly; meiotic cell cycle	OG0006023	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding; unknown:TRAPPIII protein complex; protein binding	OG0006024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:protein ubiquitination; ubiquitin protein ligase activity	OG0006025	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:microtubule binding	OG0006026	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006027	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006029	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription	OG0006030	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1
binding:chromatin binding; nucleus; pattern specification process	OG0006031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:nucleic acid binding; zinc ion binding; spliceosomal complex assembly; U2 snRNP; U2-type prespliceosome; catalytic step 2 spliceosome; nucleus	OG0006032	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:nucleus; regulation of DNA-templated transcription	OG0006033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:aspartic-type endopeptidase activity; proteolysis	OG0006034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:membrane; transmembrane transporter activity	OG0006035	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:GPI anchor biosynthetic process; membrane	OG0006036	3	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
binding:RNA-directed DNA polymerase activity; telomerase catalytic core complex; telomere maintenance; DNA binding; telomerase activity; telomerase RNA reverse transcriptase activity; telomere maintenance via telomerase; telomeric DNA binding; telomerase RNA binding	OG0006037	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006038	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1
transport:membrane; trans-Golgi network; endoplasmic reticulum to Golgi vesicle-mediated transport; vesicle fusion with Golgi apparatus	OG0006039	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:extracellular region	OG0006040	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; regulation of DNA-templated transcription	OG0006041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:chloroplast thylakoid membrane; chloroplast organization; chloroplast inner membrane; protein import into chloroplast stroma	OG0006042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006043	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:ATP-dependent protein folding chaperone; ATP binding	OG0006044	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding; unknown:protein binding; lysosomal membrane; regulation of autophagy; late endosome membrane; Mon1-Ccz1 complex	OG0006045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:endoplasmic reticulum membrane; sphingosine-1-phosphate phosphatase activity	OG0006046	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006047	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; regulation of DNA-templated transcription; response to hormone; nucleus	OG0006049	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006050	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006051	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006052	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:membrane; Golgi vesicle transport; vesicle-mediated transport	OG0006053	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; microtubule-based process; cortical microtubule	OG0006054	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:spindle microtubule; plus-end-directed microtubule motor activity; spindle elongation; mitotic spindle; mitotic spindle assembly; microtubule motor activity; ATP binding; microtubule-based movement; microtubule binding	OG0006055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:GTPase activator activity; signal transduction	OG0006056	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006057	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:magnesium ion binding; holo-[acyl-carrier-protein] synthase activity; cytosol; lysine biosynthetic process via aminoadipic acid	OG0006058	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:response to auxin	OG0006059	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:metal ion binding	OG0006060	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:nucleus; zinc ion binding; histone methyltransferase activity; protein binding; double-stranded DNA binding	OG0006061	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:manganese ion transmembrane transporter activity; plasma membrane; manganese ion transport; cadmium ion transmembrane transporter activity; membrane; metal ion transport; iron ion transmembrane transport; metal ion transmembrane transporter activity	OG0006062	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:oxidoreductase activity; cytoplasm; oxidoreductase activity, acting on NAD(P)H	OG0006063	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:ubiquitin-protein transferase activity	OG0006064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006065	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1
unknown:DNA-binding transcription factor activity; regulation of DNA-templated transcription; nucleus; endoplasmic reticulum membrane; NA	OG0006066	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:calcium ion binding	OG0006067	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:snoRNA guided rRNA pseudouridine synthesis; box H/ACA snoRNP complex; box H/ACA snoRNA binding; pseudouridine synthesis; ribosome biogenesis	OG0006068	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006069	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:cysteine-type deubiquitinase activity; protein deubiquitination	OG0006070	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:hydrolase activity, hydrolyzing N-glycosyl compounds; cytosol; purine nucleoside catabolic process; purine nucleosidase activity	OG0006071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:ATP binding; nucleus; regulation of DNA-templated transcription; DNA-templated transcription; developmental process	OG0006072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006073	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:nuclear pore	OG0006074	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; protein binding; receptor serine/threonine kinase binding	OG0006075	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006076	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:nucleus; DNA repair; Smc5-Smc6 complex	OG0006077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carbohydrate metabolism:trehalose-phosphatase activity; trehalose biosynthetic process	OG0006078	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity; inositol-polyphosphate 5-phosphatase activity; phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity; phosphatidylinositol dephosphorylation; phosphatase activity	OG0006079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006080	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA binding; nucleic acid binding; zinc ion binding; mRNA binding; nucleus; regulation of mRNA splicing, via spliceosome	OG0006081	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:zinc ion binding; cytoplasm; ubiquitin protein ligase activity; ubiquitin-dependent protein catabolic process; multicellular organism development	OG0006082	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; nucleus	OG0006084	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:zinc ion binding; RNA binding; RNA modification; protein binding	OG0006085	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1
catalytic activity; binding:guanylate kinase activity; cytosol; protein binding	OG0006086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity; unknown:oxidoreductase activity; carotenoid metabolic process	OG0006087	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006089	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:actin binding; cytoskeleton organization; actin filament severing; actin filament binding	OG0006090	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation	OG0006091	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006092	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; recognition of pollen	OG0006093	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; protein binding	OG0006094	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:chloroplast; TIM22 mitochondrial import inner membrane insertion complex; protein insertion into mitochondrial inner membrane	OG0006095	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006096	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006097	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:3'-5'-RNA exonuclease activity; catalytic activity	OG0006098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:ATP binding; Swr1 complex; chromatin remodeling; ATP hydrolysis activity; histone binding; NA	OG0006099	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA polymerase II transcription regulatory region sequence-specific DNA binding; chromatin binding; nucleus; histone binding; positive regulation of transcription by RNA polymerase II	OG0006100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:isocitrate dehydrogenase (NAD+) activity; mitochondrion; tricarboxylic acid cycle; isocitrate metabolic process	OG0006101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; ATP binding; DNA repair; chromatin remodeling; ATP hydrolysis activity; Ino80 complex; histone binding	OG0006102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:membrane; SNARE binding; SNAP receptor activity; plasma membrane; intracellular protein transport; exocytosis; vesicle fusion; endomembrane system; SNARE complex; vesicle docking; vesicle-mediated transport	OG0006103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:lipid metabolic process; triglyceride lipase activity	OG0006104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:ATPase activator activity; protein-folding chaperone binding; cytosol; protein folding; positive regulation of ATP-dependent activity	OG0006105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:zinc ion binding	OG0006106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein dimerization activity; DNA-binding transcription factor activity; regulation of DNA-templated transcription	OG0006107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:endosome; phosphatidylinositol binding	OG0006108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; receptor serine/threonine kinase binding; protein kinase activity; ATP binding; protein phosphorylation	OG0006109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:zinc ion binding; cytoplasm	OG0006110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0006111	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; metal ion binding	OG0006112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:signal transduction	OG0006113	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:DNA-binding transcription factor activity; DNA-templated transcription initiation; regulation of DNA-templated transcription	OG0006114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:calmodulin binding	OG0006115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:microtubule motor activity; ATP binding; microtubule-based movement; microtubule binding; spindle microtubule; plus-end-directed microtubule motor activity; spindle elongation; mitotic spindle; mitotic spindle assembly	OG0006116	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006119	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0006120	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:TBP-class protein binding; nucleus; DNA-templated transcription initiation; transcription preinitiation complex assembly; transcription preinitiation complex	OG0006121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:ubiquitin-protein transferase activity; nucleus; protein ubiquitination; interstrand cross-link repair	OG0006122	1	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	2
binding:DNA-templated transcription; sequence-specific DNA binding; DNA-binding transcription factor activity; regulation of DNA-templated transcription	OG0006123	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:minor groove of adenine-thymine-rich DNA binding; DNA binding	OG0006125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0006126	2	2	0	1	0	2	0	2	0	3	0	3	0	1	0	2	0	2	1	0
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding	OG0006127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:protein ubiquitination; Cul4A-RING E3 ubiquitin ligase complex; membrane	OG0006128	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0006129	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:translation initiation factor activity; cytoplasm; eukaryotic translation initiation factor 3 complex; protein binding	OG0006130	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:DNA-binding transcription factor activity; regulation of DNA-templated transcription; nucleus; positive regulation of DNA-templated transcription	OG0006131	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
NA	OG0006132	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:calmodulin binding; nucleus; response to osmotic stress	OG0006133	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:regulation of DNA-templated transcription; sequence-specific DNA binding; DNA binding; nucleus	OG0006134	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:ubiquitin-protein transferase activity; protein ubiquitination; ubiquitin protein ligase activity	OG0006135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; protein kinase activity; protein phosphorylation; receptor serine/threonine kinase binding; ATP binding	OG0006136	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:nucleic acid binding; zinc ion binding; RNA binding	OG0006137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; DNA-binding transcription factor activity; nucleus; sequence-specific DNA binding; positive regulation of DNA-templated transcription; regulation of DNA-templated transcription	OG0006138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:recognition of pollen	OG0006139	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006140	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
immune/defense:plasma membrane; plasmodesma; defense response to other organism	OG0006141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein dimerization activity; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription	OG0006142	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0006143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; nucleus; regulation of transcription by RNA polymerase II	OG0006144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:metal ion binding	OG0006145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:DNA-binding transcription factor activity	OG0006148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:chloroplast thylakoid membrane; plastid translation	OG0006149	2	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
binding:DNA binding; regulation of DNA-templated transcription; DNA-binding transcription factor activity	OG0006150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:rRNA (pseudouridine) methyltransferase activity; rRNA base methylation; nucleus; rRNA binding; small-subunit processome	OG0006151	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; nucleus; sequence-specific DNA binding	OG0006152	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006153	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:glycosyltransferase activity	OG0006155	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006156	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006157	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:GTP binding; GTPase activity; cytoplasm; chloroplast; chloroplast fission; organelle fission	OG0006158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:nucleus	OG0006159	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:5'-flap endonuclease activity; DNA replication, Okazaki fragment processing; DNA binding; 5'-3' exonuclease activity; catalytic activity	OG0006160	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
binding:RNA binding; RNA modification; protein binding	OG0006161	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:phosphorelay signal transduction system; nucleus; cytoplasm; cytokinin-activated signaling pathway; histidine phosphotransfer kinase activity; phosphorylation; protein histidine kinase binding	OG0006163	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0006165	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:negative regulation of DNA-templated transcription	OG0006166	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
